,0
L,2985.5019695250094
K,161.01037665003986
P,955.7991033791227
G,789.2689405417966
$UNK,2923.3538738406783
C,264.03124688755867
D,54.74472352110243
F,125.9687513942365
Q,2269.6742922846474
H,118.6746934292383
R,55.59791404594268
E,39.02542138312131
A,350.5846265113283
J,94.60260019460047
B,54.74229666661553
